"filename", "language", "Ruby", "Ruby ERB", "JavaScript", "SCSS", "JSON", "Markdown", "YAML", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\kenz\3D Objects\geekcycle\test\channels\application_cable\connection_test.rb", "Ruby", 3, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 12
"c:\Users\kenz\3D Objects\geekcycle\test\controllers\camps_controller_test.rb", "Ruby", 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 8
"c:\Users\kenz\3D Objects\geekcycle\test\controllers\comments_controller_test.rb", "Ruby", 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 8
"c:\Users\kenz\3D Objects\geekcycle\test\controllers\hello_controller_test.rb", "Ruby", 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 8
"c:\Users\kenz\3D Objects\geekcycle\test\controllers\likes_controller_test.rb", "Ruby", 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 8
"c:\Users\kenz\3D Objects\geekcycle\test\controllers\loves_controller_test.rb", "Ruby", 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 8
"c:\Users\kenz\3D Objects\geekcycle\test\controllers\reviews_controller_test.rb", "Ruby", 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 8
"c:\Users\kenz\3D Objects\geekcycle\test\controllers\tours_controller_test.rb", "Ruby", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 34
"c:\Users\kenz\3D Objects\geekcycle\test\controllers\users_controller_test.rb", "Ruby", 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 8
"c:\Users\kenz\3D Objects\geekcycle\test\fixtures\camps.yml", "YAML", 0, 0, 0, 0, 0, 0, 10, 0, 0, 1, 3, 14
"c:\Users\kenz\3D Objects\geekcycle\test\fixtures\comments.yml", "YAML", 0, 0, 0, 0, 0, 0, 8, 0, 0, 1, 3, 12
"c:\Users\kenz\3D Objects\geekcycle\test\fixtures\likes.yml", "YAML", 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 3, 10
